Emotion,Mood_Intensity,Sleep_Quality,Feedback,Age,Gender,Time_of_Day,Location,Weather,Activity,Frequency
Relaxed,4,4,5,48,Female,Night,Outdoors,Sunny,Socializing,5.54167627
Anxious,2,4,2,24,Female,Evening,Work,Sunny,Exercising,4.523440829
Stressed,4,3,3,51,Male,Evening,Home,Cloudy,Relaxing,4.667913276
Stressed,4,7,4,22,Female,Morning,Home,Sunny,Relaxing,5.174405491
Relaxed,2,2,2,48,Male,Morning,Work,Sunny,Exercising,5.70431105
Relaxed,4,6,2,20,Male,Night,Public Space,Rainy,Socializing,5.989848247
Stressed,4,1,2,41,Male,Morning,Work,Rainy,Relaxing,4.401695446
Happy,4,10,5,35,Female,Evening,Public Space,Sunny,Exercising,6.44112541
Stressed,5,8,5,18,Male,Morning,Home,Snowy,Relaxing,5.092445645
Anxious,5,8,3,62,Female,Night,Home,Rainy,Relaxing,4.008214031
Sad,2,4,3,52,Male,Afternoon,Outdoors,Snowy,Exercising,5.01608832
Relaxed,1,5,3,21,Male,Night,Outdoors,Rainy,Exercising,5.992748726
Sad,2,8,5,29,Male,Afternoon,Outdoors,Rainy,Exercising,5.912813146
Relaxed,1,2,5,29,Male,Night,Public Space,Rainy,Socializing,6.143032256
Anxious,4,5,4,45,Female,Night,Public Space,Cloudy,Relaxing,4.049627024
Stressed,3,7,5,58,Female,Evening,Outdoors,Rainy,Working,5.294755465
Relaxed,1,10,3,20,Male,Afternoon,Outdoors,Snowy,Socializing,5.641676197
Anxious,1,1,5,21,Male,Night,Outdoors,Cloudy,Exercising,4.463326178
Sad,5,7,2,39,Female,Afternoon,Public Space,Sunny,Exercising,4.991184543
Anxious,2,7,3,52,Female,Night,Work,Snowy,Working,4.304205538
Relaxed,4,10,1,57,Female,Evening,Home,Cloudy,Relaxing,5.544404179
Relaxed,1,9,3,30,Female,Evening,Public Space,Rainy,Exercising,5.810880358
Happy,4,3,1,62,Male,Afternoon,Outdoors,Snowy,Exercising,6.632378096
Relaxed,2,6,3,40,Female,Afternoon,Outdoors,Sunny,Socializing,5.47529562
Stressed,3,8,4,34,Female,Night,Outdoors,Snowy,Relaxing,4.623424489
Anxious,1,6,3,37,Male,Night,Outdoors,Snowy,Exercising,4.283538576
Stressed,2,2,3,38,Male,Morning,Outdoors,Snowy,Working,4.319937484
Sad,5,9,1,34,Female,Afternoon,Home,Sunny,Working,5.238549156
Relaxed,4,8,4,53,Female,Morning,Work,Sunny,Relaxing,6.129525138
Relaxed,1,3,2,48,Female,Night,Work,Rainy,Exercising,5.108105879
Happy,5,3,4,22,Male,Afternoon,Public Space,Rainy,Relaxing,6.038034653
Relaxed,3,9,3,26,Male,Morning,Public Space,Snowy,Working,5.9688644
Sad,3,7,3,20,Male,Evening,Home,Sunny,Socializing,5.881442069
Relaxed,5,2,4,48,Male,Night,Home,Rainy,Relaxing,5.648818806
Happy,4,9,4,38,Male,Night,Public Space,Snowy,Exercising,6.762264858
Happy,2,1,1,27,Female,Morning,Outdoors,Rainy,Relaxing,6.210060322
Happy,2,6,4,22,Male,Afternoon,Home,Sunny,Socializing,6.490958007
Stressed,3,8,3,49,Female,Morning,Work,Snowy,Working,5.286444344
Relaxed,1,8,3,43,Male,Morning,Public Space,Rainy,Working,6.276663543
Relaxed,4,9,5,33,Male,Evening,Work,Sunny,Socializing,5.719341311
Anxious,3,3,2,44,Male,Afternoon,Public Space,Rainy,Socializing,4.179539687
Anxious,1,2,3,57,Female,Morning,Public Space,Sunny,Socializing,4.122534782
Anxious,2,6,5,53,Male,Night,Outdoors,Snowy,Socializing,4.450435572
Anxious,3,4,4,63,Female,Morning,Public Space,Sunny,Relaxing,4.595303191
Relaxed,4,2,5,55,Male,Afternoon,Outdoors,Snowy,Exercising,6.148125229
Stressed,4,10,2,53,Female,Night,Outdoors,Snowy,Socializing,4.483207505
Sad,1,9,3,39,Male,Afternoon,Home,Cloudy,Relaxing,5.486776775
Relaxed,5,8,1,64,Male,Afternoon,Public Space,Cloudy,Socializing,5.998627283
Anxious,3,2,5,47,Female,Evening,Public Space,Cloudy,Working,4.033721727
Relaxed,4,3,4,40,Male,Morning,Outdoors,Rainy,Exercising,5.669895066
Relaxed,1,6,1,38,Male,Evening,Home,Cloudy,Relaxing,5.198859071
Anxious,4,4,5,37,Female,Afternoon,Public Space,Snowy,Relaxing,4.895298878
Relaxed,1,8,2,37,Female,Morning,Outdoors,Sunny,Relaxing,5.451732528
Relaxed,4,7,2,36,Male,Evening,Outdoors,Rainy,Exercising,6.338554937
Relaxed,5,9,4,31,Female,Evening,Outdoors,Snowy,Socializing,5.655790823
Happy,1,6,3,43,Female,Afternoon,Public Space,Snowy,Exercising,6.177937926
Sad,4,9,4,55,Male,Morning,Work,Snowy,Socializing,5.968737281
Happy,2,1,1,44,Female,Night,Public Space,Sunny,Working,5.879770824
Anxious,2,4,5,26,Female,Morning,Home,Sunny,Socializing,4.070616964
Anxious,3,3,2,20,Male,Morning,Work,Snowy,Socializing,4.488084937
Relaxed,3,8,2,43,Female,Morning,Outdoors,Sunny,Working,6.182659441
Anxious,1,7,3,46,Female,Afternoon,Public Space,Cloudy,Relaxing,3.845967268
Relaxed,2,8,1,59,Female,Night,Home,Sunny,Socializing,5.479113262
Sad,1,6,4,18,Female,Afternoon,Public Space,Sunny,Relaxing,5.189061862
Sad,4,1,3,27,Male,Morning,Work,Rainy,Exercising,5.579935406
Anxious,1,3,2,40,Female,Afternoon,Public Space,Cloudy,Exercising,4.519194341
Relaxed,4,5,5,19,Female,Afternoon,Work,Sunny,Relaxing,5.590479852
Happy,2,4,2,42,Female,Night,Outdoors,Snowy,Working,6.232550845
Relaxed,1,1,5,30,Male,Evening,Work,Cloudy,Relaxing,6.232975271
Anxious,3,6,3,45,Male,Night,Work,Cloudy,Exercising,4.427606211
Relaxed,5,1,1,40,Male,Morning,Work,Rainy,Exercising,5.73950121
Anxious,1,3,2,59,Female,Morning,Work,Cloudy,Exercising,4.005582026
Happy,3,10,1,42,Female,Morning,Outdoors,Rainy,Socializing,6.636841954
Stressed,2,1,5,40,Female,Evening,Outdoors,Cloudy,Exercising,5.243897156
Stressed,3,10,2,38,Male,Afternoon,Public Space,Sunny,Socializing,4.629076211
Happy,1,3,1,52,Male,Morning,Work,Snowy,Exercising,6.243259915
Sad,2,5,4,33,Male,Night,Home,Cloudy,Relaxing,5.475480196
Sad,4,4,4,57,Female,Evening,Public Space,Snowy,Working,5.531846534
Sad,4,5,3,20,Male,Morning,Outdoors,Snowy,Relaxing,5.63705999
Relaxed,1,6,1,25,Male,Night,Outdoors,Cloudy,Socializing,5.339500739
Relaxed,5,3,4,25,Male,Evening,Home,Cloudy,Relaxing,6.230745682
Stressed,2,10,4,52,Female,Evening,Outdoors,Sunny,Exercising,4.528280407
Sad,5,1,4,59,Female,Afternoon,Work,Cloudy,Relaxing,5.256069823
Happy,1,8,2,55,Male,Afternoon,Public Space,Snowy,Relaxing,6.651805525
Stressed,2,8,2,22,Male,Afternoon,Home,Rainy,Relaxing,4.389909229
Stressed,3,6,1,40,Female,Evening,Home,Sunny,Socializing,4.842415815
Happy,5,6,5,63,Female,Evening,Public Space,Sunny,Working,6.824021383
Sad,5,1,4,41,Male,Morning,Outdoors,Snowy,Relaxing,5.269487843
Anxious,4,1,2,63,Male,Night,Home,Snowy,Exercising,4.510918099
Relaxed,1,9,5,19,Female,Morning,Home,Sunny,Socializing,5.943348197
Happy,1,2,1,31,Male,Afternoon,Public Space,Cloudy,Working,6.095079209
Stressed,3,8,1,23,Male,Evening,Home,Snowy,Working,5.004481258
Relaxed,3,1,4,27,Female,Evening,Outdoors,Rainy,Exercising,5.808043429
Sad,3,8,1,50,Female,Night,Work,Snowy,Exercising,5.394712714
Happy,3,2,5,22,Female,Evening,Work,Snowy,Exercising,6.053117246
Stressed,5,1,1,45,Female,Afternoon,Outdoors,Cloudy,Relaxing,4.619493556
Relaxed,3,3,3,28,Female,Night,Work,Sunny,Exercising,5.711699973
Happy,2,4,5,23,Male,Night,Public Space,Cloudy,Working,6.696473408
Happy,5,2,1,18,Female,Morning,Work,Sunny,Socializing,6.197284423
Relaxed,3,9,2,38,Female,Morning,Work,Rainy,Working,5.719280414
Sad,2,3,2,52,Female,Afternoon,Home,Snowy,Exercising,4.955254383
Relaxed,3,6,1,55,Female,Morning,Work,Rainy,Socializing,5.31490767
Relaxed,2,7,4,29,Male,Afternoon,Public Space,Snowy,Exercising,5.589478797
Happy,5,6,2,50,Male,Morning,Work,Snowy,Working,6.706156172
Anxious,5,7,5,50,Female,Morning,Work,Rainy,Relaxing,4.942174165
Relaxed,5,8,4,33,Female,Afternoon,Public Space,Snowy,Relaxing,6.070025311
Happy,4,5,2,64,Female,Night,Public Space,Sunny,Working,6.238588847
Anxious,2,5,2,40,Female,Evening,Home,Sunny,Socializing,3.790225953
Sad,4,5,1,61,Male,Morning,Work,Cloudy,Socializing,5.273656447
Stressed,4,4,3,60,Female,Night,Outdoors,Snowy,Relaxing,4.319142956
Sad,1,4,4,28,Female,Night,Home,Sunny,Relaxing,5.762165089
Stressed,4,9,3,22,Male,Night,Public Space,Snowy,Exercising,4.758139196
Relaxed,5,9,3,46,Female,Night,Public Space,Snowy,Working,5.893937097
Happy,2,8,2,24,Female,Morning,Outdoors,Cloudy,Relaxing,6.028862852
Relaxed,2,5,1,47,Female,Afternoon,Home,Snowy,Socializing,6.015770668
Relaxed,5,4,3,34,Male,Evening,Work,Snowy,Working,6.143922861
Anxious,5,8,1,23,Female,Afternoon,Public Space,Rainy,Working,4.591653796
Relaxed,4,7,5,42,Male,Morning,Home,Cloudy,Relaxing,5.962449338
Anxious,5,6,5,23,Male,Evening,Outdoors,Sunny,Relaxing,4.720061513
Happy,1,3,3,30,Female,Morning,Work,Cloudy,Working,6.657859895
Stressed,1,7,5,63,Male,Afternoon,Outdoors,Rainy,Socializing,4.554106568
Anxious,3,4,3,20,Male,Afternoon,Home,Rainy,Relaxing,4.651800118
Anxious,3,4,1,42,Male,Night,Home,Sunny,Socializing,3.704897646
Sad,3,6,1,48,Male,Morning,Home,Sunny,Exercising,5.317295804
Sad,4,7,4,64,Female,Evening,Public Space,Snowy,Working,5.531835552
Sad,3,10,3,48,Female,Evening,Outdoors,Sunny,Working,5.666972507
Relaxed,2,8,2,30,Male,Afternoon,Work,Rainy,Relaxing,5.695747119
Relaxed,5,3,4,61,Female,Afternoon,Home,Rainy,Socializing,6.069616787
Happy,5,9,5,64,Male,Afternoon,Outdoors,Snowy,Relaxing,6.738003134
Relaxed,4,3,4,31,Male,Morning,Home,Cloudy,Working,6.144390477
Relaxed,1,4,4,58,Male,Evening,Work,Cloudy,Working,6.062515966
Anxious,3,3,4,57,Male,Afternoon,Home,Snowy,Relaxing,4.203652128
Happy,3,5,5,54,Male,Afternoon,Outdoors,Rainy,Working,6.256978368
Happy,1,4,5,48,Female,Afternoon,Home,Cloudy,Working,6.012001232
Anxious,5,3,4,37,Male,Night,Outdoors,Snowy,Exercising,4.613648584
Anxious,4,2,5,59,Female,Afternoon,Outdoors,Cloudy,Relaxing,3.922495598
Stressed,5,7,5,62,Male,Morning,Work,Snowy,Exercising,5.260229104
Relaxed,1,1,3,42,Female,Afternoon,Public Space,Snowy,Exercising,5.393028414
Sad,1,6,5,31,Male,Afternoon,Outdoors,Snowy,Relaxing,5.595978181
Happy,5,9,4,52,Male,Afternoon,Outdoors,Cloudy,Relaxing,6.531118499
Sad,5,4,5,44,Male,Morning,Outdoors,Rainy,Working,5.936372064
Happy,2,7,3,55,Female,Evening,Work,Cloudy,Exercising,6.263990988
Anxious,4,5,1,30,Male,Afternoon,Public Space,Cloudy,Exercising,3.954919989
Anxious,5,6,1,62,Female,Morning,Public Space,Cloudy,Working,4.617507446
Anxious,5,5,2,51,Female,Morning,Work,Sunny,Exercising,4.843314645
Anxious,4,4,2,43,Female,Night,Home,Snowy,Exercising,3.963247847
Sad,5,4,3,23,Female,Night,Outdoors,Cloudy,Socializing,4.967652146
Anxious,4,4,5,54,Male,Evening,Home,Snowy,Relaxing,4.7365378
Relaxed,4,4,3,24,Female,Evening,Public Space,Snowy,Exercising,5.483991485
Happy,2,9,1,27,Male,Afternoon,Public Space,Rainy,Socializing,6.078068127
Stressed,5,8,4,34,Male,Night,Public Space,Cloudy,Exercising,5.044108406
Stressed,3,2,1,56,Male,Night,Work,Snowy,Exercising,4.638415429
Sad,2,10,1,31,Male,Night,Public Space,Cloudy,Working,4.862806791
Happy,1,10,1,60,Male,Afternoon,Home,Cloudy,Socializing,6.143955082
Stressed,1,10,3,18,Male,Morning,Home,Sunny,Exercising,4.719523434
Happy,1,6,4,53,Male,Afternoon,Work,Rainy,Relaxing,6.372560178
Relaxed,1,2,4,62,Female,Night,Home,Snowy,Socializing,5.510013096
Sad,5,8,3,52,Female,Afternoon,Home,Snowy,Socializing,5.410253354
Happy,5,2,2,25,Male,Evening,Home,Cloudy,Exercising,6.313136833
Stressed,1,2,3,30,Female,Night,Work,Snowy,Exercising,4.328291531
Relaxed,2,7,5,30,Male,Evening,Work,Sunny,Relaxing,6.116725388
Relaxed,3,6,2,32,Male,Night,Outdoors,Cloudy,Relaxing,5.549943631
Sad,3,8,1,38,Male,Evening,Work,Sunny,Exercising,5.271886908
Relaxed,2,2,1,36,Male,Afternoon,Outdoors,Snowy,Working,6.049825119
Relaxed,1,9,3,39,Female,Morning,Public Space,Cloudy,Socializing,5.732121749
Sad,5,7,1,49,Female,Morning,Work,Snowy,Exercising,5.773277755
Anxious,4,2,5,59,Female,Night,Home,Sunny,Exercising,4.729608315
Relaxed,1,10,4,38,Male,Afternoon,Work,Snowy,Socializing,5.726427574
Sad,5,8,2,41,Female,Morning,Outdoors,Sunny,Working,5.11042217
Happy,1,6,4,31,Female,Night,Outdoors,Cloudy,Socializing,6.38251797
Sad,3,3,4,40,Male,Morning,Public Space,Cloudy,Relaxing,5.247350934
Relaxed,2,4,2,32,Female,Afternoon,Home,Cloudy,Working,5.283790005
Anxious,5,2,4,52,Female,Evening,Outdoors,Snowy,Relaxing,4.730212467
Relaxed,2,7,3,25,Male,Night,Home,Sunny,Exercising,5.48764255
Relaxed,5,6,1,48,Male,Evening,Home,Cloudy,Relaxing,6.032176451
Stressed,1,3,2,60,Male,Morning,Home,Snowy,Relaxing,4.899271831
Happy,4,5,1,20,Female,Evening,Work,Rainy,Relaxing,6.414352766
Anxious,5,1,1,31,Male,Evening,Home,Sunny,Working,3.9623943
Relaxed,3,2,5,34,Female,Afternoon,Public Space,Rainy,Relaxing,6.304845281
Relaxed,5,8,4,19,Male,Morning,Home,Rainy,Working,5.695758405
Happy,3,4,3,32,Male,Night,Public Space,Snowy,Socializing,6.430199732
Relaxed,2,2,3,34,Female,Night,Home,Snowy,Working,6.085139269
Sad,2,1,1,22,Female,Morning,Work,Sunny,Relaxing,5.180866075
Sad,2,6,5,32,Male,Evening,Public Space,Snowy,Socializing,5.583458302
Sad,3,7,3,24,Female,Evening,Work,Snowy,Working,5.680974292
Sad,4,6,4,53,Female,Night,Work,Sunny,Socializing,5.715164945
Happy,4,1,1,39,Male,Evening,Work,Snowy,Socializing,6.328273894
Anxious,1,9,2,43,Male,Evening,Outdoors,Cloudy,Exercising,4.695814821
Relaxed,3,6,2,48,Male,Morning,Home,Snowy,Socializing,5.355958311
Relaxed,5,9,4,51,Female,Afternoon,Public Space,Snowy,Relaxing,6.439375611
Anxious,4,2,1,25,Female,Evening,Work,Snowy,Working,4.22240162
Happy,5,2,1,59,Male,Morning,Public Space,Cloudy,Working,5.912699607
Sad,4,3,4,36,Male,Evening,Outdoors,Cloudy,Relaxing,5.29932721
Relaxed,2,2,3,54,Female,Evening,Public Space,Cloudy,Working,6.123861494
Relaxed,5,4,5,30,Male,Morning,Public Space,Sunny,Exercising,5.879548505
Stressed,3,8,3,58,Male,Morning,Home,Snowy,Relaxing,5.161106555
Relaxed,4,1,4,39,Female,Evening,Public Space,Sunny,Exercising,5.813265591
Sad,4,9,1,21,Female,Evening,Outdoors,Rainy,Exercising,5.421773987
Relaxed,1,7,4,49,Male,Night,Public Space,Sunny,Exercising,5.875694601
Sad,2,7,3,47,Female,Morning,Outdoors,Rainy,Socializing,4.917960326
Stressed,1,5,5,56,Male,Night,Home,Cloudy,Exercising,4.991041333
Relaxed,5,4,3,26,Male,Morning,Work,Cloudy,Exercising,6.21020544
Stressed,4,6,5,25,Male,Evening,Work,Cloudy,Exercising,5.471942737
Happy,2,4,4,53,Male,Morning,Home,Rainy,Relaxing,6.742242543
Stressed,5,6,1,54,Female,Afternoon,Public Space,Rainy,Relaxing,4.852288965
Happy,5,7,4,22,Female,Afternoon,Outdoors,Cloudy,Exercising,6.50054027
Relaxed,2,8,4,56,Male,Afternoon,Home,Rainy,Working,5.530147609
Relaxed,3,5,4,33,Female,Night,Work,Cloudy,Working,5.885183012
Relaxed,1,3,2,64,Male,Afternoon,Outdoors,Rainy,Socializing,6.003402486
Stressed,1,1,5,42,Female,Evening,Work,Cloudy,Exercising,4.603566279
Happy,5,8,5,57,Female,Morning,Work,Cloudy,Working,6.2373045
Relaxed,4,5,4,48,Female,Afternoon,Work,Cloudy,Exercising,5.838821633
Happy,1,3,3,22,Male,Evening,Outdoors,Rainy,Working,6.489964355
Sad,3,2,4,26,Male,Night,Outdoors,Snowy,Working,5.499353302
Relaxed,1,5,3,59,Female,Afternoon,Outdoors,Sunny,Relaxing,6.145851113
Sad,4,2,2,34,Male,Morning,Outdoors,Sunny,Working,5.156427397
Stressed,2,2,1,23,Male,Morning,Home,Rainy,Relaxing,4.174655127
Happy,5,6,5,60,Male,Afternoon,Work,Snowy,Relaxing,6.554103213
Anxious,1,4,1,63,Female,Afternoon,Work,Sunny,Socializing,3.939307247
Happy,1,10,3,34,Male,Evening,Public Space,Sunny,Working,6.51568762
Stressed,4,10,4,32,Female,Night,Outdoors,Sunny,Relaxing,4.8465059
Stressed,2,1,2,52,Male,Afternoon,Work,Sunny,Relaxing,4.21270223
Sad,4,7,2,20,Male,Morning,Work,Cloudy,Working,5.342962493
Anxious,2,5,5,29,Male,Night,Work,Rainy,Working,4.508667821
Anxious,3,7,2,54,Male,Afternoon,Outdoors,Cloudy,Exercising,4.590359593
Happy,1,9,4,63,Male,Evening,Work,Snowy,Working,5.846903128
Relaxed,1,4,3,48,Female,Evening,Work,Rainy,Relaxing,5.439860589
Sad,4,7,3,51,Male,Evening,Work,Rainy,Working,5.583474572
Sad,1,1,5,57,Female,Evening,Outdoors,Cloudy,Relaxing,5.09507818
Sad,5,7,1,53,Female,Afternoon,Outdoors,Sunny,Relaxing,5.543036509
Sad,2,6,1,34,Female,Night,Public Space,Rainy,Relaxing,5.682632558
Stressed,3,1,1,45,Female,Afternoon,Outdoors,Rainy,Exercising,4.700881967
Anxious,4,10,3,45,Female,Morning,Home,Snowy,Exercising,4.870674075
Sad,5,1,5,53,Male,Morning,Outdoors,Sunny,Socializing,5.017682798
Happy,2,9,5,26,Female,Night,Outdoors,Sunny,Relaxing,6.774215102
Anxious,4,5,3,55,Female,Morning,Home,Rainy,Working,3.955582942
Happy,5,9,3,20,Male,Morning,Work,Snowy,Exercising,6.840158365
Sad,3,6,2,35,Female,Morning,Public Space,Snowy,Socializing,5.661009925
Sad,2,3,1,60,Male,Night,Work,Snowy,Relaxing,5.361203747
Stressed,5,6,3,45,Male,Evening,Public Space,Snowy,Working,4.711289739
Anxious,1,5,1,55,Male,Night,Public Space,Cloudy,Working,3.893429877
Relaxed,2,6,1,41,Male,Morning,Home,Cloudy,Working,6.046310013
Sad,5,7,2,21,Female,Afternoon,Outdoors,Rainy,Working,5.536495002
Relaxed,5,5,1,45,Female,Afternoon,Home,Cloudy,Relaxing,5.684303644
Anxious,5,5,4,58,Female,Afternoon,Public Space,Snowy,Working,4.578786493
Anxious,5,5,5,50,Female,Night,Outdoors,Rainy,Socializing,4.787703688
Anxious,2,9,1,28,Male,Afternoon,Public Space,Rainy,Relaxing,3.955336568
Anxious,3,5,4,61,Female,Afternoon,Work,Sunny,Exercising,4.591875769
Stressed,5,5,4,22,Female,Evening,Home,Snowy,Relaxing,5.086977999
Relaxed,4,10,1,35,Female,Evening,Public Space,Rainy,Socializing,6.387368926
Happy,3,6,1,56,Male,Afternoon,Home,Rainy,Relaxing,6.335837976
Anxious,4,7,4,50,Female,Morning,Public Space,Cloudy,Relaxing,4.449441507
Stressed,1,6,3,59,Male,Night,Public Space,Sunny,Relaxing,4.959026971
Sad,1,3,1,32,Male,Afternoon,Outdoors,Cloudy,Socializing,4.816745652
Stressed,5,6,2,60,Male,Evening,Home,Sunny,Exercising,4.875511335
Sad,2,7,4,51,Male,Night,Outdoors,Sunny,Working,5.605273508
Anxious,1,6,3,52,Male,Evening,Home,Snowy,Exercising,4.085753346
Sad,2,9,2,63,Male,Afternoon,Work,Cloudy,Working,5.035598021
Anxious,3,3,3,31,Male,Night,Work,Sunny,Working,4.386510782
Anxious,1,5,1,34,Male,Night,Work,Rainy,Socializing,4.1206818
Sad,5,5,5,48,Male,Night,Outdoors,Snowy,Exercising,5.211539134
Relaxed,2,5,4,53,Male,Afternoon,Outdoors,Snowy,Socializing,6.057769199
Sad,3,6,2,27,Female,Evening,Home,Sunny,Socializing,5.38851386
Anxious,3,1,4,37,Male,Morning,Outdoors,Snowy,Working,4.779255935
Anxious,4,8,5,61,Female,Evening,Home,Rainy,Relaxing,4.60526379
Stressed,2,4,2,27,Female,Evening,Public Space,Cloudy,Socializing,5.065338334
Anxious,3,10,1,63,Female,Night,Work,Sunny,Working,3.834327877
Happy,3,1,5,56,Male,Night,Work,Rainy,Exercising,6.175633777
Stressed,4,5,1,33,Female,Evening,Public Space,Rainy,Socializing,4.410022034
Sad,4,3,2,34,Male,Evening,Home,Cloudy,Relaxing,5.108841816
Stressed,2,5,3,33,Female,Night,Home,Rainy,Relaxing,4.600903177
Anxious,4,1,5,37,Male,Morning,Public Space,Sunny,Relaxing,4.269601871
Stressed,4,4,4,34,Female,Morning,Public Space,Sunny,Exercising,5.180921701
Relaxed,2,5,4,39,Female,Evening,Public Space,Sunny,Socializing,5.341623615
Happy,2,8,1,23,Male,Night,Outdoors,Snowy,Relaxing,6.657116379
Sad,4,1,4,28,Male,Night,Home,Snowy,Exercising,5.547145626
Relaxed,1,9,1,30,Female,Afternoon,Home,Snowy,Socializing,6.015342744
Sad,1,10,2,18,Male,Afternoon,Work,Snowy,Socializing,5.032553828
Sad,2,4,3,40,Male,Afternoon,Public Space,Cloudy,Working,5.012393754
Sad,2,9,3,44,Male,Afternoon,Public Space,Cloudy,Relaxing,5.653260889
Relaxed,2,3,1,64,Female,Morning,Outdoors,Snowy,Socializing,5.699580052
Relaxed,2,3,2,22,Male,Morning,Outdoors,Cloudy,Working,5.317060889
Happy,1,8,4,23,Female,Morning,Home,Sunny,Relaxing,6.460610678
Relaxed,1,2,2,54,Female,Morning,Outdoors,Sunny,Socializing,5.101057695
Stressed,2,2,4,60,Female,Morning,Outdoors,Cloudy,Exercising,4.612144464
Happy,2,5,2,24,Male,Afternoon,Home,Rainy,Exercising,6.657481552
Sad,4,1,1,18,Male,Afternoon,Work,Sunny,Socializing,5.216701665
Relaxed,4,6,2,33,Female,Night,Work,Sunny,Socializing,6.306424737
Happy,2,1,1,43,Female,Afternoon,Work,Cloudy,Relaxing,6.415127449
Sad,5,5,2,40,Female,Evening,Public Space,Snowy,Relaxing,5.382828484
Sad,2,2,5,55,Male,Morning,Work,Cloudy,Working,5.331461689
Sad,1,7,5,50,Female,Afternoon,Work,Rainy,Socializing,5.516779929
Stressed,3,4,5,53,Male,Afternoon,Home,Rainy,Socializing,4.58902553
Stressed,4,10,4,55,Male,Night,Public Space,Snowy,Working,5.189980436
Sad,2,10,4,31,Male,Evening,Home,Sunny,Relaxing,5.521965958
Sad,3,8,1,35,Female,Night,Work,Snowy,Exercising,5.084254429
Sad,1,1,3,48,Male,Evening,Work,Rainy,Relaxing,5.535074892
Anxious,1,2,2,47,Female,Evening,Public Space,Rainy,Exercising,4.501270957
Stressed,1,5,1,58,Male,Afternoon,Public Space,Cloudy,Relaxing,4.241042454
Relaxed,3,3,5,23,Male,Morning,Public Space,Cloudy,Relaxing,5.80868408
Happy,3,8,2,39,Male,Night,Work,Rainy,Relaxing,6.729700764
Sad,1,3,5,56,Male,Morning,Work,Cloudy,Relaxing,5.55976972
Happy,1,1,1,54,Male,Evening,Home,Snowy,Exercising,6.336052662
Happy,3,10,3,63,Female,Night,Outdoors,Snowy,Working,6.471962603
Sad,5,6,4,56,Male,Evening,Public Space,Sunny,Working,5.409879821
Anxious,4,8,2,28,Female,Afternoon,Public Space,Snowy,Working,4.202960871
Sad,2,2,3,27,Male,Night,Public Space,Sunny,Exercising,5.471628852
Happy,4,6,4,38,Female,Evening,Outdoors,Snowy,Exercising,6.377667312
Stressed,2,4,2,18,Male,Morning,Home,Sunny,Socializing,4.4280352
Happy,4,4,2,31,Male,Afternoon,Outdoors,Sunny,Exercising,6.432714325
Sad,4,2,3,52,Male,Morning,Outdoors,Snowy,Socializing,5.422975978
Stressed,3,7,1,21,Male,Afternoon,Work,Sunny,Working,4.761530154
Relaxed,4,5,1,30,Male,Afternoon,Home,Snowy,Working,5.814251342
Sad,2,9,2,34,Male,Morning,Outdoors,Rainy,Working,5.105563019
Relaxed,1,2,4,22,Male,Morning,Outdoors,Rainy,Socializing,6.129089526
Happy,2,7,3,42,Male,Morning,Public Space,Rainy,Exercising,6.383428834
Happy,3,5,5,28,Male,Night,Work,Sunny,Working,6.475668922
Happy,1,9,5,21,Female,Evening,Public Space,Cloudy,Exercising,6.59444655
Happy,5,9,4,54,Male,Evening,Work,Snowy,Relaxing,6.697114493
Relaxed,2,2,2,63,Female,Evening,Outdoors,Snowy,Relaxing,5.43290621
Relaxed,5,10,1,18,Female,Morning,Work,Sunny,Exercising,6.060221352
Happy,2,4,2,19,Male,Afternoon,Work,Cloudy,Socializing,6.624709422
Happy,1,6,5,40,Female,Morning,Home,Rainy,Socializing,5.936554116
Anxious,4,8,3,32,Male,Morning,Home,Sunny,Socializing,4.710135658
Anxious,4,1,2,61,Female,Morning,Outdoors,Sunny,Exercising,3.832807199
Happy,5,4,5,38,Male,Afternoon,Work,Cloudy,Socializing,6.731793361
Relaxed,5,10,5,34,Male,Evening,Outdoors,Cloudy,Working,6.102126626
Relaxed,4,8,2,21,Female,Night,Public Space,Rainy,Relaxing,5.985623259
Sad,1,2,5,38,Female,Evening,Public Space,Rainy,Working,4.938388068
Sad,5,1,3,56,Female,Morning,Outdoors,Cloudy,Exercising,4.975958041
Sad,1,10,1,25,Female,Afternoon,Public Space,Sunny,Socializing,5.423098663
Happy,5,9,5,35,Female,Afternoon,Public Space,Cloudy,Socializing,6.992888457
Stressed,5,8,1,27,Female,Night,Public Space,Snowy,Relaxing,5.411224828
Stressed,4,2,2,50,Male,Morning,Work,Sunny,Exercising,5.099240537
Relaxed,4,7,1,46,Female,Morning,Work,Rainy,Exercising,5.415389934
Stressed,1,4,4,20,Female,Evening,Outdoors,Sunny,Relaxing,4.716633413
Stressed,5,9,5,32,Female,Morning,Work,Sunny,Working,5.242394579
Anxious,4,9,3,54,Male,Night,Outdoors,Snowy,Socializing,4.386541571
Sad,5,7,4,53,Female,Afternoon,Work,Cloudy,Exercising,5.142575779
Relaxed,5,5,4,58,Female,Morning,Outdoors,Snowy,Relaxing,5.680735401
Relaxed,2,6,4,19,Female,Night,Home,Snowy,Relaxing,5.835978622
Sad,4,3,2,23,Female,Night,Public Space,Cloudy,Working,4.989345493
Sad,5,6,5,44,Male,Evening,Home,Snowy,Relaxing,5.420764121
Anxious,3,2,2,23,Female,Afternoon,Work,Rainy,Working,3.809940855
